,NU_ANO_CENSO,SG_UF,yhat_adjusted,QT_VG_TOTAL,error_percentage,rolling_yhat_adjusted,MA_yhat_adjusted
224,2017,MA,556.4681106513244,514,8.262278336833544,567.76,588.05
225,2017,MG,5743.313865769019,5305,8.26227833683353,5012.46,5265.47
226,2017,MS,505.58483983301267,467,8.262278336833548,491.27,509.97
227,2017,MT,627.9212143536345,580,8.262278336833528,579.9,577.15
228,2017,PA,764.3316850580449,706,8.26227833683355,716.12,749.13
229,2017,PB,1288.3211122083194,1190,8.262278336833562,1182.17,1227.2
230,2017,PE,1387.922408278206,1282,8.262278336833536,1171.7,1273.49
231,2017,PI,769.7447989748864,711,8.262278336833532,615.3,705.72
232,2017,PR,2172.823926220249,2007,8.26227833683354,1852.15,1913.59
233,2017,RJ,4370.548176457971,4037,8.26227833683356,4754.52,4725.47
234,2017,RN,551.0549967344828,509,8.262278336833548,464.74,504.13
235,2017,RO,486.09762973238264,449,8.26227833683355,388.45,436.06
236,2017,RR,90.94031380294018,84,8.26227833683355,89.53,90.09
237,2017,RS,1954.1341239798455,1805,8.262278336833548,1731.91,1816.78
238,2017,SC,1053.3919682173905,973,8.262278336833557,1003.41,1005.96
239,2017,SE,422.22288551365085,390,8.262278336833552,360.39,388.58
240,2017,SP,8190.041356181458,7565,8.262278336833544,6537.46,7046.8
241,2017,TO,747.0097205241514,690,8.262278336833532,656.7,670.79
242,2018,AC,298.0455291516318,317,5.979328343333818,271.64,274.61
243,2018,AL,522.7549344110639,556,5.979328343333829,603.03,600.24
244,2018,AM,522.7549344110639,556,5.979328343333829,611.55,637.59
245,2018,AP,72.39591717563296,77,5.979328343333819,67.17,68.68
246,2018,BA,2565.82412951042,2729,5.979328343333826,2084.16,2368.24
247,2018,CE,1625.6174129437582,1729,5.979328343333826,1513.26,1372.52
248,2018,DF,519.934314261364,553,5.979328343333822,531.37,560.94
249,2018,ES,678.8292493611299,722,5.979328343333811,638.37,678.82
250,2018,GO,1510.9121935226253,1607,5.979328343333831,1459.98,1572.84
251,2018,MA,570.7054769559637,607,5.97932834333382,582.27,563.59
252,2018,MG,5482.345364300205,5831,5.979328343333821,5337.76,5612.83
253,2018,MS,372.32185976039807,396,5.979328343333821,464.09,438.95
254,2018,MT,550.0209291914971,585,5.979328343333831,568.11,588.97
255,2018,PA,781.311781466896,831,5.97932834333381,759.86,772.82
256,2018,PB,1285.2625815466267,1367,5.979328343333816,1246.55,1286.79
257,2018,PE,1548.520462185292,1647,5.97932834333382,1365.17,1468.22
258,2018,PI,723.018965039763,769,5.979328343333814,711.48,746.38
259,2018,PR,2214.1868175144887,2355,5.9793283433338145,2013.79,2193.51
260,2018,RJ,6108.523037533602,6497,5.979328343333811,5186.49,5239.54
261,2018,RN,535.9178284429972,570,5.979328343333819,514.73,543.49
262,2018,RO,603.6127120357969,642,5.979328343333816,491.91,544.86
263,2018,RR,105.30315225546613,112,5.979328343333812,95.16,98.12
264,2018,RS,1820.240203273057,1936,5.979328343333834,1817.93,1887.19
265,2018,SC,1477.0647517262255,1571,5.979328343333832,1162.99,1265.23
266,2018,SE,335.6537978142983,357,5.979328343333814,370.94,378.94
267,2018,SP,9497.968250756418,10102,5.97932834333382,7863.86,8844.0
268,2018,TO,822.6808769958292,875,5.979328343333807,721.42,784.85
269,2019,AC,306.5343123734439,315,2.687519881446373,285.25,302.29
270,2019,AL,538.1380150556015,553,2.6875198814463834,579.54,530.45
271,2019,AM,652.9667415954949,671,2.687519881446362,642.71,587.86
272,2019,AP,58.387488071132175,60,2.687519881446375,65.25,65.39
273,2019,BA,4257.421005186721,4375,2.687519881446372,2997.97,3411.62
274,2019,CE,1299.121609582691,1335,2.6875198814463666,1348.06,1462.37
275,2019,DF,679.2411112275042,698,2.6875198814463848,600.37,599.59
276,2019,ES,857.3229498444574,881,2.6875198814463777,738.32,768.08
277,2019,GO,1820.7165030181384,1871,2.687519881446372,1655.46,1665.81
278,2019,MA,755.1448457199762,776,2.687519881446371,627.44,662.93
279,2019,MG,5887.405047172494,6050,2.6875198814463794,5704.35,5684.88
280,2019,MS,474.8849029785417,488,2.687519881446378,450.93,423.6
281,2019,MT,555.6542614769412,571,2.6875198814463745,577.87,552.84
282,2019,PA,955.6085547641966,982,2.6875198814463763,833.75,868.46
283,2019,PB,1270.9009903483104,1306,2.687519881446369,1281.49,1278.08
284,2019,PE,1747.7321429292233,1796,2.6875198814463643,1561.39,1648.13
285,2019,PI,972.1516763843507,999,2.6875198814463754,821.64,847.59
286,2019,PR,2596.296969563011,2668,2.687519881446369,2327.77,2405.24
287,2019,RJ,4241.851008367753,4359,2.687519881446366,4906.97,5175.19
288,2019,RN,809.6398345863661,832,2.687519881446385,632.2,672.78
289,2019,RO,855.3767002420864,879,2.687519881446374,648.36,729.49
290,2019,RR,111.90935213633668,115,2.687519881446366,102.72,108.61
291,2019,RS,2093.1914473500883,2151,2.6875198814463825,1955.86,1956.72
292,2019,SC,1556.0265570956726,1599,2.6875198814463657,1362.16,1516.55
293,2019,SE,374.65304845643146,385,2.687519881446373,377.51,355.15
294,2019,SP,9660.209901368818,9927,2.687519881446374,9116.07,9579.09
295,2019,TO,872.8929466634261,897,2.6875198814463688,814.19,847.79
296,2020,AC,270.6116298330756,282,4.038429137207236,291.73,288.57
297,2020,AL,619.9117477736413,646,4.038429137207228,560.27,579.02
298,2020,AM,624.709826316781,651,4.038429137207219,600.14,638.84
299,2020,AP,57.576942517675654,60,4.038429137207243,62.79,57.98
300,2020,BA,3555.3762004664723,3705,4.038429137207227,3459.54,3906.4
301,2020,CE,1297.4004380649583,1352,4.038429137207228,1407.38,1298.26
302,2020,DF,665.9733017877818,694,4.038429137207235,621.72,672.61
303,2020,ES,879.0079891031818,916,4.0384291372072285,805.05,868.17
304,2020,GO,2644.700892978569,2756,4.038429137207227,1992.11,2232.71
305,2020,MA,692.8425416293638,722,4.038429137207225,672.9,723.99
306,2020,MG,5837.342355583684,6083,4.038429137207227,5735.7,5862.37
307,2020,MS,749.4598684384116,781,4.0384291372072205,532.22,612.17
308,2020,MT,632.3867519858044,659,4.038429137207226,579.35,594.02
309,2020,PA,1064.2138208683718,1109,4.038429137207228,933.71,1009.91
310,2020,PB,1247.500421216306,1300,4.038429137207231,1267.89,1259.2
311,2020,PE,2069.89108351044,2157,4.038429137207243,1788.71,1908.81
312,2020,PI,1021.990729688743,1065,4.038429137207226,905.72,997.07
313,2020,PR,2723.3893810860586,2838,4.0384291372072365,2511.29,2659.84
314,2020,RJ,4645.4996454677985,4841,4.0384291372072205,4998.62,4443.68
315,2020,RN,718.7521657623179,749,4.038429137207227,688.1,764.2
316,2020,RO,918.3522331569269,957,4.0384291372072205,792.45,886.86
317,2020,RR,111.3154222008396,116,4.0384291372072365,109.51,111.61
318,2020,RS,2033.4256865825787,2119,4.038429137207235,1982.29,2063.31
319,2020,SC,2078.5276248880914,2166,4.03842913720723,1703.87,1817.28
320,2020,SE,379.04820490803144,395,4.038429137207231,363.12,376.85
321,2020,SP,10436.780447037341,10876,4.038429137207234,9864.99,10048.5
322,2020,TO,987.4445641781375,1029,4.038429137207239,894.34,930.17
323,2021,AC,444.3572954778271,446,0.36831939959033444,340.5,357.48
324,2021,AL,558.9337281682982,561,0.3683193995903357,572.33,589.42
325,2021,AM,660.5580423807162,663,0.36831939959031856,646.08,642.63
326,2021,AP,59.779008360245804,60,0.36831939959032667,58.58,58.68
